window,threshold,pnl
3,0.005,-0.05590156927398171
3,0.01,-0.05590156927398171
3,0.015,-0.05590156927398171
3,0.02,-0.05590156927398171
3,0.03,-0.05590156927398171
5,0.005,-0.06446540880503127
5,0.01,-0.06446540880503127
5,0.015,-0.06446540880503127
5,0.02,-0.06446540880503127
5,0.03,-0.06446540880503127
7,0.005,-0.02777777777777768
7,0.01,-0.02777777777777768
7,0.015,-0.02777777777777768
7,0.02,-0.02777777777777768
7,0.03,-0.02777777777777768
10,0.005,0.0
10,0.01,0.0
10,0.015,0.0
10,0.02,0.0
10,0.03,0.0
